,principal component 1,principal component 2,rating_five_count
733,-0.0604785800097064,0.8761066272155127,133
734,-0.6514590608682816,-0.1908512827035233,11
735,-0.028673612918643267,-0.21789413700562243,358
736,-0.6417975710729161,-0.585316926483216,30
737,2.7520427475673683,-0.2873271378587521,2616
738,0.09182264626636404,0.19833833682973154,515
739,-0.6717247619445275,-1.5476304362396787,1
740,2.48909843837778,0.655059861165119,2246
741,0.854027163287168,-0.1778624783969853,1009
742,0.5404512606369967,-0.4419164105862486,624
743,0.9862835551681176,0.5156931439498124,1223
744,-0.5261580383451638,2.1191514069761674,3
745,0.5995535648412427,-0.4425848673807267,705
746,-0.5625120467777867,1.0289150925046489,0
747,-0.5618606236080228,0.198818420364897,35
748,-0.654476870305665,-0.9562909566264334,16
749,-0.633900351657518,-0.7008953884768658,18
750,-0.11468529855711677,-0.41409951604469675,243
751,-0.6417975710729161,-0.585316926483216,30
752,-0.6646245173685987,-0.7355549921427159,2
753,1.8347265270280508,0.3033157154779739,1334
754,-0.5337782476824178,-0.9380904368823255,86
